Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate (BS/2),Hourly Rate,Employee # (field 19),Date,Time-in,Time-out,Staffed Time,sss,pag-ibig,philhealth,withholding tax,Salary
21,Lazaro,Darlene ,11/25/1985,47A/94 Larkin Plaza Apt. 179 Poblacion Caloocan 2751 Quirino,740-721-558,45-5617168-2,6-0638691751-0,354-650-951-000,1-0490770884-5,Probationary,Account Rank and File,Christian Mata,23250,1500,500,500,11625,138.39,21,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3645.51
22,Delos Santos,Kolby ,2/26/1980,06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur,739-443-033,52-0109570-6,3-5745127127-4,187-500-345-000,1-1301798866-7,Probationary,Account Rank and File,Christian Mata,24000,1500,500,500,12000,142.86,22,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3685.74
23,Santos,Vella ,12/31/1983,99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur,955-879-269,52-9883524-3,5-4867048288-5,101-558-994-000,3-6002810457-6,Probationary,Account Rank and File,Christian Mata,22500,1500,500,500,11250,133.93,23,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3605.37
24,Del Rosario,Tomas,12/18/1978,80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque,882-550-989,45-5866331-6,9-5390153999-5,560-735-732-000,9-1310864996-4,Probationary,Account Rank and File,Christian Mata,22500,1500,500,500,11250,133.93,24,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3605.37
25,Tolentino,Jacklyn ,5/19/1984,96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao,675-757-366,47-1692793-0,7-5380065411-4,841-177-857-000,2-1054666124-3,Probationary,Account Rank and File,Selena De Leon,24000,1500,500,500,12000,142.86,25,1/9/2022,8:00 AM,5:00 PM,9,500,200,200,,3685.74
26,Gutierrez,Percival ,12/18/1970,58A Wilderman Walks  Poblacion Digos 5822 Davao del Sur,512-899-876,40-9504657-8,7-9763938226-5,502-995-671-000,2-1089709568-6,Probationary,Account Rank and File,De Leon Selena,"24,750","1,500",500,500,"12,375",147.32,26,1/10/2022,8:00 AM,5:00 PM,9,500,200,200,,3725.88
27,Manalaysay,Garfield ,8/28/1986,60 Goyette Valley Suite 219 Poblacion Tabuk 3159 Lanao del Sur,948-628-136,45-3298166-4,8-1090928626-4,336-676-445-000,2-1127447656-3,Probationary,Account Rank and File,De Leon Selena,"24,750","1,500",500,500,"12,375",147.32,27,1/11/2022,8:00 AM,5:00 PM,9,500,200,200,,3725.88
28,Villegas,Lizeth ,12/12/1981,66/77 Mann Views Luisiana 1263 Dinagat Islands,332-372-215,40-2400719-4,9-3438965299-4,210-395-397-000,1-2223807799-7,Probationary,Account Rank and File,De Leon Selena,"24,000","1,500",500,500,"12,000",142.86,28,1/12/2022,8:00 AM,5:00 PM,9,500,200,200,,3685.74
29,Ramos,Carol ,8/20/1978,72/70 Stamm Spurs Bustos 4550 Iloilo,250-700-389,60-1152206-4,3-5183046974-4,395-032-717-000,2-1214189345-4,Probationary,Account Rank and File,De Leon Selena,"22,500","1,500",500,500,"11,250",133.93,29,1/13/2022,8:00 AM,5:00 PM,9,500,200,200,,3605.37
30,Maceda,Emelia ,4/14/1973,50A/83 Bahringer Oval Suite 145 Kiamba 7688 Nueva Ecija,973-358-041,54-1331005-0,4-6508789411-2,215-973-013-000,5-1501257976-5,Probationary,Account Rank and File,De Leon Selena,"22,500","1,500",500,500,"11,250",133.93,30,1/14/2022,8:00 AM,5:00 PM,9,500,200,200,,3605.37
31,Aguilar,Delia ,1/27/1989,95 Cremin Junction Surallah 2809 Cotabato,529-705-439,52-1859253-1,1-3645130306-8,599-312-588-000,1-1001881346-5,Probationary,Account Rank and File,De Leon Selena,"22,500","1,500",500,500,"11,250",133.93,31,1/15/2022,8:00 AM,5:00 PM,9,500,200,200,,3605.37
32,Castro,John Rafael,2/9/1992,Hi-way Yati Liloan Cebu,332-424-955 ,26-7145133-4,6-0164490240-2,404-768-309-000,6-9776406931-1,Regular,Sales & Marketing,Reyes Isabella,"52,670","1,500","1,000","1,000","26,335",313.51,32,1/16/2022,8:00 AM,5:00 PM,9,500,200,200,,6221.59
33,Martinez,Carlos Ian,11/16/1990,Bulala Camalaniugan,078-854-208,11-5062972-7,3-8068538721-2,256-436-296-000,9-9337296372-6,Regular,Supply Chain and Logistics,Reyes Isabella,"52,670","1,500","1,000","1,000","26,335",313.51,33,1/17/2022,8:00 AM,5:00 PM,9,500,200,200,,6221.59
34,Santos,Beatriz,8/7/1990,Agapita Building Metro Manila,526-639-511,20-2987501-5,9-1846005007-7,911-529-713-000,8-7404225937-8,Regular,Customer Service and Relations,Reyes Isabella,"52,670","1,500","1,000","1,000","26,335",313.51,34,1/18/2022,8:00 AM,5:00 PM,9,500,200,200,,6221.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fields 0,fields 1,fields 2,fields 3,fields 4,fields 5,fields 6,,fields 8,,fields 10,fields 11,fields 12,fields 13,fields 14,fields 15,fields 16,fields 17,fields 18,fields 19,fields 20,fields 21,fields 22,fields 23,fields 24,fields 25,fields 26,fields 27,fields 28
